"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1762.48786744324
"FDW14","OUT017",1369.15195434308
"NCN55","OUT010",3597.76694476755
"FDQ58","OUT017",2558.53581386407
"FDY38","OUT027",3353.4689975476
"FDH56","OUT046",1797.07108493271
"FDL48","OUT018",780.110880084258
"FDC48","OUT027",1294.40670783071
"FDN33","OUT045",1455.1478142054
"FDA36","OUT017",3105.37643965343
"FDT44","OUT017",1800.40651353914
"FDQ56","OUT045",1304.96292318287
"NCC54","OUT019",2638.87867862573
"FDU11","OUT049",1868.76218837062
"DRL59","OUT013",808.557767601749
"FDM24","OUT049",2343.620595869
"FDI57","OUT045",3215.12777095959
"DRC12","OUT018",3147.45914273763
"NCM42","OUT027",1752.61707862629
"FDA46","OUT010",1876.98202272069
"FDA31","OUT013",2659.55855370078
"NCJ31","OUT035",2440.65293238171
"FDG52","OUT046",745.294833892339
"NCL19","OUT019",2300.36291801494
"FDS10","OUT035",2962.15224428164
"FDX22","OUT010",3433.72879533592
"NCF19","OUT035",737.568552555431
"NCE06","OUT046",2485.5375856171
"DRC27","OUT046",3911.20086816979
"FDE21","OUT035",1880.30616865939
"NCR42","OUT019",504.866098318238
"FDX51","OUT018",3223.08449341269
"NCR06","OUT018",638.925144938952
"FDU31","OUT027",3585.6313811832
"FDU59","OUT017",2518.88510210151
"FDR03","OUT027",3389.15179126354
"FDS49","OUT027",1237.51123232426
"FDD48","OUT010",1765.11862257575
"NCF18","OUT017",2980.57854153454
"NCD43","OUT027",1674.33378711346
"NCD54","OUT018",2312.30156914287
"FDY19","OUT010",1788.76680824584
"NCY54","OUT017",1958.46940922122
"NCL19","OUT018",2379.51274049132
"FDP23","OUT010",3497.90150938205
"FDC26","OUT013",1691.35653183227
"FDR14","OUT010",-119.663998189517
"NCS41","OUT035",2954.98524189931
"FDF41","OUT035",3327.75860471893
"FDU34","OUT046",1915.80099649017
"DRH11","OUT046",886.241180186751
"FDM03","OUT013",1620.70831181599
"FDS31","OUT017",2941.74511386787
"FDJ20","OUT017",1860.57572012706
"FDV44","OUT027",3084.50139331408
"FDG02","OUT049",3134.99951742879
"FDA09","OUT013",2988.04542694174
"FDT04","OUT013",598.301779174003
"FDL58","OUT019",3473.19826213356
"FDE52","OUT045",1428.28240253791
"FDW12","OUT035",2314.4333066015
"FDL51","OUT017",3500.86044071049
"NCY42","OUT027",2320.5573442594
"FDR07","OUT017",1488.30589232762
"FDN40","OUT045",2353.76239400662
"FDB35","OUT027",1389.08492472538
"FDA22","OUT017",2571.36225782684
"NCL06","OUT046",4050.7325725236
"FDI35","OUT013",2954.62523116089
"NCW42","OUT045",3570.82920593786
"NCX06","OUT049",2991.82306268722
"FDC37","OUT027",1716.40263211089
"FDZ14","OUT018",1901.77641632393
"DRG49","OUT049",3870.21619647684
"NCG06","OUT045",4145.50974344609
"DRC36","OUT045",2809.63618123161
"FDV21","OUT019",-55.0063884911491
"FDB53","OUT046",2104.71974474178
"DRP47","OUT019",1243.9564884727
"FDA14","OUT013",2244.21405009127
"DRC24","OUT035",2490.41626991459
"FDW21","OUT018",1639.48587185003
"NCH29","OUT046",1537.43976975158
"FDU58","OUT013",3109.09488152227
"FDY27","OUT017",2917.16862736715
"FDV56","OUT035",1772.96989173991
"FDT59","OUT046",3779.41421534387
"FDB23","OUT046",3689.95527788134
"FDR49","OUT045",673.049218368788
"FDB03","OUT010",869.200936781225
"FDN39","OUT045",2758.16923708456
"FDX02","OUT027",3600.79157593103
"FDQ16","OUT027",1687.95032758189
"FDU35","OUT018",1528.81983081857
"NCT29","OUT013",1873.04469309945
"FDZ27","OUT046",742.699288133162
"FDN57","OUT017",2176.90431206263
"FDA03","OUT018",2292.33944898454
"FDZ36","OUT045",2960.93393238293
"NCU05","OUT013",1249.65126077153
"FDT39","OUT018",2500.55973924094
"FDK60","OUT017",1484.95486793207
"FDZ25","OUT017",2780.76011535263
"FDG12","OUT046",2006.90783345974
"DRB01","OUT019",2576.17675176934
"NCC43","OUT027",3758.39216963433
"FDX13","OUT019",3805.93508906116
"FDM22","OUT049",824.46634637423
"FDJ03","OUT027",762.652149409994
"FDU14","OUT018",4008.49167092315
"FDB33","OUT010",2605.26764274912
"FDP27","OUT046",2832.88714428725
"FDO38","OUT010",1170.54978189211
"FDE28","OUT027",3166.68005570039
