"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",2026.29618830518
"FDW14","OUT017",1632.08525498183
"NCN55","OUT010",1875.05200565535
"FDQ58","OUT017",2504.75723267394
"FDY38","OUT027",4771.25728464454
"FDH56","OUT046",1838.63532437399
"FDL48","OUT018",839.918507937895
"FDC48","OUT027",2760.98106091717
"FDN33","OUT045",1727.15259584489
"FDA36","OUT017",2932.53112411608
"FDT44","OUT017",1968.91462219906
"FDQ56","OUT045",1561.85759295302
"NCC54","OUT019",1792.1661546555
"FDU11","OUT049",2172.93273533846
"DRL59","OUT013",1109.96756469991
"FDM24","OUT049",2606.47706392946
"FDI57","OUT045",3091.6219343863
"DRC12","OUT018",2668.10917315352
"NCM42","OUT027",3099.61078118115
"FDA46","OUT010",1217.76295202587
"FDA31","OUT013",2735.11909237923
"NCJ31","OUT035",3521.73685276671
"FDG52","OUT046",879.468891361612
"NCL19","OUT019",570.5418978904
"FDS10","OUT035",2850.99129988008
"FDX22","OUT010",1552.42693433597
"NCF19","OUT035",1054.28474351018
"NCE06","OUT046",2339.82929041951
"DRC27","OUT046",3451.48035628712
"FDE21","OUT035",2007.71701191565
"NCR42","OUT019",-912.353111203026
"FDX51","OUT018",2794.22066812066
"NCR06","OUT018",709.906871573626
"FDU31","OUT027",4604.29798228214
"FDU59","OUT017",2582.3857407887
"FDR03","OUT027",4446.71994311646
"FDS49","OUT027",2717.59870295391
"FDD48","OUT010",242.165612549192
"NCF18","OUT017",2921.90213641961
"NCD43","OUT027",3022.8947177812
"NCD54","OUT018",2034.9676177832
"FDY19","OUT010",265.594542850678
"NCY54","OUT017",2632.73404895488
"NCL19","OUT018",2062.47106109552
"FDP23","OUT010",1605.55107053078
"FDC26","OUT013",1893.07446396999
"FDR14","OUT010",-661.556841966962
"NCS41","OUT035",2842.41601561978
"FDF41","OUT035",3692.71834148786
"FDU34","OUT046",1896.50494937344
"DRH11","OUT046",955.881596622362
"FDM03","OUT013",1821.78546335973
"FDS31","OUT017",2870.39045952992
"FDJ20","OUT017",2060.56783640046
"FDV44","OUT027",4212.60593333822
"FDG02","OUT049",3098.9022621787
"FDA09","OUT013",2827.21959706344
"FDT04","OUT013",924.518306956378
"FDL58","OUT019",2188.04062453959
"FDE52","OUT045",1703.84432237124
"FDW12","OUT035",2414.05296556496
"FDL51","OUT017",3317.75516454992
"NCY42","OUT027",3526.41046215626
"FDR07","OUT017",1696.80686478063
"FDN40","OUT045",2464.67798927002
"FDB35","OUT027",2895.55882223999
"FDA22","OUT017",2609.46560786279
"NCL06","OUT046",3690.4801256119
"FDI35","OUT013",2854.92307085929
"NCW42","OUT045",3359.6762070272
